id_a;id_b;hierarchie_separatrice;longueur_m;permeabilite
1;2;boulevard;209.9;0.4
1;9;boulevard;145.1;0.4
1;26;rue;206.7;0.8
1;27;rue;41.1;0.8
1;35;rue;109.1;0.8
1;39;rue;144.2;0.8
1;40;boulevard;47.1;0.4
2;3;boulevard;155.1;0.4
2;25;rue;36.7;0.8
2;26;boulevard;58.7;0.4
2;27;boulevard;62.3;0.4
2;30;rue;64.2;0.8
2;32;rue;222.6;0.8
3;4;rive;273.1;0.1
3;31;rue;140.2;0.8
3;32;boulevard;95.2;0.4
4;5;rive;226.5;0.1
4;57;rue;35.7;0.8
5;64;rue;51.7;0.8
5;65;rue;65.9;0.8
6;7;rive;269.7;0.1
6;60;rue;75.9;0.8
6;61;rue;193.5;0.8
6;62;rue;26.8;0.8
6;63;rue;198.7;0.8
6;64;rue;140.8;0.8
7;8;rive;243.6;0.1
7;51;sans_rue;39.5;0.9
8;9;boulevard;134.4;0.4
8;10;rue;74.9;0.8
8;50;rue;74.8;0.8
9;10;boulevard;12.9;0.4
9;11;rue;195.5;0.8
9;42;rue;191.9;0.8
9;47;rue;81;0.8
9;48;rue;193.5;0.8
10;11;boulevard;126;0.4
10;12;rue;45.1;0.8
10;50;rue;127.9;0.8
11;12;boulevard;51.3;0.2
11;13;rue;8.2;0.8
11;46;rue;21.9;0.8
11;47;rue;34.5;0.8
11;49;rue;56.9;0.8
12;14;ruelle;47.1;1
12;50;rue;50.3;0.8
12;53;ruelle;38.4;1
12;54;rive;21.4;0.1
13;14;boulevard;65.7;0.4
13;15;boulevard;61.8;0.4
13;16;boulevard;33.7;0.2
13;44;rue;61.7;0.8
13;49;rue;119.1;0.8
14;15;ruelle;50.6;1
14;53;ruelle;48.3;1
15;17;boulevard;79.3;0.4
15;53;ruelle;35.4;1
15;54;boulevard;101.2;0.2
16;17;boulevard;104.6;0.2
16;44;boulevard;13.1;0.2
16;45;rue;90.5;0.8
17;19;rue;90.1;0.8
17;54;rive;31.6;0.1
18;19;boulevard;58.5;0.4
18;20;boulevard;14.6;0.4
18;21;ruelle;33.4;1
18;37;ruelle;70.6;1
18;45;rue;39.2;0.8
19;20;rue;38.5;0.8
19;54;rive;66.7;0.1
19;55;rue;18.7;0.8
19;56;rue;43.5;0.8
20;21;boulevard;16.1;0.2
20;22;ruelle;46.2;1
20;56;ruelle;49.3;1
21;22;boulevard;20.3;0.2
21;23;rue;64.2;0.8
21;34;ruelle;33.9;1
21;37;ruelle;34.2;1
22;24;boulevard;56.9;0.2
22;28;boulevard;19.9;0.4
22;29;rue;65.2;0.8
22;55;ruelle;24.7;1
22;56;ruelle;61.8;1
23;24;boulevard;72.5;0.2
23;25;boulevard;70.3;0.4
23;26;rue;95;0.8
23;33;rue;67.4;0.8
23;34;rue;11.4;0.8
24;25;rue;58.7;0.8
24;28;rue;79.7;0.8
24;30;rue;29.4;0.8
25;30;rue;82.2;0.8
26;27;rue;200.9;0.8
26;33;rue;119.5;0.8
26;35;rue;123.7;0.8
28;29;boulevard;40.4;0.4
28;30;rue;49.5;0.8
29;30;boulevard;15.6;0.4
29;31;rue;44.1;0.8
29;58;rue;61.9;0.8
30;31;boulevard;73.8;0.4
30;32;rue;157.7;0.8
31;32;boulevard;38.8;0.4
31;57;rive;155.4;0.1
31;58;rue;75.7;0.8
33;34;rue;57.4;0.8
33;35;rue;49.7;0.8
33;36;rue;74.7;0.8
34;36;rue;73.2;0.8
34;37;ruelle;70.6;1
34;38;ruelle;24.6;1
35;36;rue;39.2;0.8
35;39;rue;121.7;0.8
35;40;rue;26.6;0.8
36;38;rue;108.3;0.8
36;40;rue;63.7;0.8
36;41;rue;30.9;0.8
36;43;rue;33.3;0.8
37;38;ruelle;7.8;1
37;45;rue;27.7;0.8
38;43;rue;26.9;0.8
38;45;rue;152.5;0.8
39;40;rue;102.3;0.8
40;41;rue;103.8;0.8
40;42;boulevard;90.4;0.4
41;42;boulevard;50.4;0.4
41;43;rue;65.5;0.8
42;43;boulevard;39.7;0.4
42;44;rue;19.6;0.8
42;46;rue;33.1;0.8
42;47;rue;40.4;0.8
42;48;rue;75.9;0.8
43;44;boulevard;32.2;0.4
43;45;rue;60.4;0.8
44;45;boulevard;128.8;0.4
44;46;rue;94;0.8
44;49;rue;67.9;0.8
46;47;rue;166.1;0.8
46;49;rue;90.1;0.8
47;48;rue;101.4;0.8
50;51;rive;87.9;0.1
50;52;rive;51;0.1
51;52;sans_rue;40.1;0.9
51;59;rive;30.3;0.1
51;60;rive;64.5;0.1
52;54;boulevard;40.4;0.2
52;59;rive;45.9;0.1
53;54;rive;38.9;0.1
54;55;boulevard;98.7;0.2
54;57;boulevard;40.8;0.2
54;59;rive;11.4;0.1
54;66;rive;98.4;0.1
54;67;rive;42.6;0.1
54;68;rive;44.6;0.1
54;69;rive;116.2;0.1
55;56;ruelle;54.5;1
55;58;rue;78.3;0.8
57;58;boulevard;56.2;0.2
57;63;rive;75;0.1
57;65;rive;126.7;0.1
59;60;rue;86.9;0.8
59;61;rue;54.3;0.8
59;62;rue;17.4;0.8
59;66;rue;89.9;0.8
60;61;rue;64;0.8
61;62;rue;68.9;0.8
62;63;rue;58.7;0.8
62;66;rue;99.9;0.8
62;67;rue;43.5;0.8
62;68;rue;35.9;0.8
63;64;rue;51.5;0.8
63;65;rue;69.8;0.8
63;67;rue;172.9;0.8
64;65;rue;137;0.8
66;68;rue;18.9;0.8
66;69;rue;35.3;0.8
67;68;rue;73.4;0.8
68;69;rue;78.7;0.8
