fid;fonction;sous_type;exception;surface_m2;densite;logements;emplois;hauteur;impermeabilise;canopee;desserte_tc;riverain;stationnement;altitude_relative;alea;position_fil_eau;rive
1;freiraum;champ;0;147432.1;0;0;0;0;0.02;0.04;0.85;0;0;0;0;0.759;droite
2;freiraum;champ;0;69117.1;0;0;0;0;0.02;0.04;0.85;0;0;0;0;0.928;droite
3;freiraum;champ;0;42837.4;0;0;0;0;0.02;0.04;0.85;0;0;0;0;0.91;droite
4;riviere;riviere;1;8333.9;0;0;0;0;0;0;0.24;0;0;0;0.146;0.863;lit
5;freiraum;champ;0;12992.2;0;0;0;0;0.02;0.04;0.4;0;0;0;0.904;0.801;gauche
6;freiraum;champ;0;51155;0;0;0;0;0.02;0.04;0.4;0;0;0;0.511;0.326;gauche
7;riviere;riviere;1;9645.9;0;0;0;0;0;0;0;0;0;0;0.179;0.119;lit
8;freiraum;champ;0;30889.7;0;0;0;0;0.02;0.04;0.85;0;0;0;0;0.088;droite
9;freiraum;champ;0;148018.1;0;0;0;0;0.02;0.04;0.85;0;0;0;0;0.138;droite
10;habitation;maisons_de_ville;0;8178.4;100;82;0;3;0.68;0.18;0.85;0.5;16;0;0;0.193;droite
11;habitation;pavillonnaire;0;11862;20;24;0;2;0.42;0.42;0.85;0.25;24;0;0;0.207;droite
12;mixte;front_commercant;0;3680.9;150;55;52;4;0.9;0.04;0.73;0.35;15;0;0.028;0.284;droite
13;mixte;coeur_ancien;0;5193.4;170;88;57;4;0.85;0.08;0.85;0.45;10;0;0;0.367;droite
14;mixte;coeur_ancien;0;2734.1;170;46;30;4;0.85;0.08;0.85;0.45;5;0;0;0.328;droite
15;mixte;coeur_ancien;0;7153.6;170;122;79;4;0.85;0.08;0.85;0.45;14;0;0.026;0.395;droite
16;mixte;equipement;1;2132.4;0;0;17;3;0.72;0.18;0.85;0;17;0;0;0.454;droite
17;mixte;coeur_ancien;0;4330.6;170;74;48;4;0.85;0.08;0.85;0.45;9;0;0.034;0.461;droite
18;mixte;coeur_ancien;0;2630;170;45;29;4;0.85;0.08;0.83;0.45;5;0;0;0.552;droite
19;freiraum;place_minerale;1;5794.7;0;0;0;0;1;0.02;0.83;0;127;0;0;0.526;droite
20;mixte;coeur_ancien;0;1636.9;170;28;18;4;0.85;0.08;0.26;0.45;3;0;0;0.59;droite
21;mixte;front_commercant;0;2317.1;150;35;32;4;0.9;0.04;0.4;0.35;9;0;0;0.605;droite
22;mixte;coeur_ancien;0;3306.5;170;56;36;4;0.85;0.08;0.81;0.45;7;0;0;0.624;droite
23;habitation;maisons_de_ville;0;9237.5;100;92;0;3;0.68;0.18;0.85;0.5;18;0;0;0.677;droite
24;mixte;front_commercant;0;4085.6;150;61;57;4;0.9;0.04;0.85;0.35;16;0;0;0.676;droite
25;habitation;maisons_de_ville;0;3497.2;100;35;0;3;0.68;0.18;0.85;0.5;7;0;0;0.736;droite
26;habitation;pavillonnaire;0;14459.8;20;29;0;2;0.42;0.42;0.85;0.25;29;0;0;0.722;droite
28;habitation;maisons_de_ville;0;2288.3;100;23;0;3;0.68;0.18;0.57;0.5;5;0;0;0.681;droite
29;habitation;maisons_de_ville;0;3427.6;100;34;0;3;0.68;0.18;0.57;0.5;7;0;0;0.658;droite
30;habitation;maisons_de_ville;0;12579.4;100;126;0;3;0.68;0.18;0.85;0.5;25;0;0;0.762;droite
31;industrie;friche_industrielle;1;16887.6;0;0;42;1;0.8;0.2;0.85;0;34;0;0.032;0.725;droite
32;habitation;barre_1970;1;15247;65;99;0;6;0.55;0.32;0.85;0.85;91;0;0;0.841;droite
33;habitation;maisons_de_ville;0;7940.9;100;79;0;3;0.68;0.18;0.4;0.5;16;0;0;0.612;droite
34;mixte;coeur_ancien;0;3601.3;170;61;40;4;0.85;0.08;0.4;0.45;7;0;0;0.57;droite
35;habitation;pavillonnaire;0;12752.5;20;26;0;2;0.42;0.42;0.4;0.25;26;0;0;0.582;droite
36;mixte;equipement;1;11429;0;0;91;3;0.72;0.18;0.4;0;91;0;0;0.506;droite
37;mixte;coeur_ancien;0;2455.6;170;42;27;4;0.85;0.08;0.15;0.45;5;0;0;0.553;droite
38;mixte;coeur_ancien;0;3885.2;170;66;43;4;0.85;0.08;0.4;0.45;8;0;0;0.463;droite
39;habitation;pavillonnaire;0;7808.1;20;16;0;2;0.42;0.42;0.4;0.25;16;0;0;0.501;droite
40;habitation;maisons_de_ville;0;7463.5;100;75;0;3;0.68;0.18;0.85;0.5;15;0;0;0.444;droite
41;habitation;maisons_de_ville;0;3758;100;38;0;3;0.68;0.18;0.71;0.5;8;0;0;0.415;droite
42;habitation;pavillonnaire;0;8974;20;18;0;2;0.42;0.42;0.85;0.25;18;0;0;0.329;droite
43;habitation;maisons_de_ville;0;3979.7;100;40;0;3;0.68;0.18;0.56;0.5;8;0;0;0.396;droite
44;habitation;maisons_de_ville;1;6022.2;100;60;0;3;0.5;0.55;0.85;0.5;12;0;0;0.362;droite
45;mixte;front_commercant;0;5105.7;150;77;71;4;0.9;0.04;0.85;0.35;20;0;0;0.407;droite
46;freiraum;parc;1;4245.9;0;0;0;0;0.12;0.7;0.4;0;0;0;0;0.3;droite
47;habitation;pavillonnaire;0;11057.1;20;22;0;2;0.42;0.42;0.4;0.25;22;0;0;0.25;droite
48;freiraum;jardins_familiaux;1;8786.5;0;0;0;0;0.06;0.3;0.4;0;0;0;0;0.205;droite
49;habitation;maisons_de_ville;1;6707.9;100;67;0;3;0.5;0.55;0.4;0.5;13;0;0;0.312;droite
50;habitation;maisons_de_ville;0;8365.8;100;84;0;3;0.68;0.18;0.4;0.5;17;0;0.067;0.232;droite
51;riviere;riviere;1;3669.9;0;0;0;0;0;0;0;0;0;0;0.121;0.254;lit
52;riviere;riviere;1;1931;0;0;0;0;0;0;0.57;0;0;0;0.124;0.299;lit
53;mixte;coeur_ancien;0;1593.5;170;27;18;4;0.85;0.08;0.12;0.45;3;0;0.107;0.335;droite
54;riviere;riviere;1;13571.4;0;0;0;0;0;0;0.85;0;0;0;0.235;0.462;lit
55;mixte;coeur_ancien;0;4041.4;170;69;44;4;0.85;0.08;0.85;0.45;8;0;0.042;0.578;droite
56;mixte;coeur_ancien;0;2861.7;170;49;31;4;0.85;0.08;0.29;0.45;6;0;0.007;0.583;droite
57;riviere;riviere;1;8053.6;0;0;0;0;0;0;0.8;0;0;0;0.121;0.667;lit
58;habitation;maisons_de_ville;0;4538.8;100;45;0;3;0.68;0.18;0.8;0.5;9;0;0.023;0.629;droite
59;habitation;maisons_de_ville;0;6554.3;100;0;0;3;0.68;0.18;0.4;0.5;13;0;0.847;0.331;gauche
60;habitation;pavillonnaire;0;5213.3;20;0;0;2;0.42;0.42;0.4;0.25;10;0;0.85;0.284;gauche
61;habitation;pavillonnaire;0;8727.3;20;0;0;2;0.42;0.42;0.4;0.25;17;0;0.594;0.354;gauche
62;habitation;maisons_de_ville;0;7780.7;100;0;0;3;0.68;0.18;0.4;0.5;16;0;0.68;0.434;gauche
63;habitation;pavillonnaire;0;15420.7;20;0;0;2;0.42;0.42;0.4;0.25;31;0;0.723;0.546;gauche
64;habitation;pavillonnaire;0;6975.1;20;0;0;2;0.42;0.42;0.4;0.25;14;0;0.747;0.662;gauche
65;industrie;friche_industrielle;1;8953.8;0;0;22;1;0.8;0.2;0.4;0;18;0;0.899;0.678;gauche
66;habitation;maisons_de_ville;0;7112.8;100;0;0;3;0.68;0.18;0.4;0.5;14;0;0.878;0.396;gauche
67;habitation;maisons_de_ville;0;6179;100;0;0;3;0.68;0.18;0.4;0.5;12;0;0.859;0.525;gauche
68;habitation;maisons_de_ville;0;3720.4;100;0;0;3;0.68;0.18;0.4;0.5;7;0;0.881;0.495;gauche
69;habitation;maisons_de_ville;0;3119.3;100;0;0;3;0.68;0.18;0.4;0.5;6;0;0.933;0.478;gauche
70;habitation;pavillonnaire;0;9628.9;20;19;0;2;0.42;0.42;0.83;0.25;19;0;0;0.686;droite
71;habitation;pavillonnaire;0;6420.3;20;13;0;2;0.42;0.42;0.71;0.25;13;0;0;0.326;droite
72;mixte;front_commercant;0;4196;150;63;59;4;0.9;0.04;0.4;0.35;17;0;0;0.483;droite
