mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;alea_moy_gauche;alea_moy_aval;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
0;2026;CRUE — rive gauche, 13 îlots, 417 logements;8.3;0;0;50;2544;0;0.746;0.535;0.201;0.593;1.0;3371;0.421;état de départ, exporté de la carte
1;2026;;8.3;;;;;;;;;;;;;
2;2026;;8.3;;;;;;;;;;;;;
3;2026;la seconde crue est annoncée : quelque part entre 2028 et 2031;8.3;;;;;;;;;;;;;
4;2026;;8.3;;;;;;;;;;;;;
5;2026;;8.3;;;;;;;;;;;;;
6;2026;;8.3;;;;;;;;;;;;;
7;2026;;8.3;;;;;;;;;;;;;
8;2026;;8.3;;;;;;;;;;;;;
9;2026;;8.3;;;;;;;;;;;;;
10;2026;;8.3;;;;;;;;;;;;;
11;2026;;8.3;;;;;;;;;;;;;
12;2027;;8.3;;;;;;;;;;;;;
13;2027;;8.3;;;;;;;;;;;;;
14;2027;;8.3;;;;;;;;;;;;;
15;2027;;8.3;;;;;;;;;;;;;
16;2027;;8.3;;;;;;;;;;;;;
17;2027;;8.3;;;;;;;;;;;;;
18;2027;;8.3;;;;;;;;;;;;;
19;2027;;8.3;;;;;;;;;;;;;
20;2027;;8.3;;;;;;;;;;;;;
21;2027;;8.3;;;;;;;;;;;;;
22;2027;;8.3;;;;;;;;;;;;;
23;2027;;8.3;;;;;;;;;;;;;
24;2028;;8.3;;;;;;;;;;;;;
25;2028;;8.3;;;;;;;;;;;;;
26;2028;;8.3;;;;;;;;;;;;;
27;2028;;8.3;;;;;;;;;;;;;
28;2028;;8.3;;;;;;;;;;;;;
29;2028;;8.3;;;;;;;;;;;;;
30;2028;;8.3;;;;;;;;;;;;;
31;2028;;8.3;;;;;;;;;;;;;
32;2028;;8.3;;;;;;;;;;;;;
33;2028;;8.3;;;;;;;;;;;;;
34;2028;CRUE — la seconde;8.3;;;;;;;;;;;;;c'est ici qu'on lit si le système produit du regret
35;2028;;8.3;;;;;;;;;;;;;
36;2029;;8.3;;;;;;;;;;;;;
37;2029;;8.3;;;;;;;;;;;;;
38;2029;;8.3;;;;;;;;;;;;;
39;2029;;8.3;;;;;;;;;;;;;
40;2029;;8.3;;;;;;;;;;;;;
41;2029;;8.3;;;;;;;;;;;;;
42;2029;;8.3;;;;;;;;;;;;;
43;2029;;8.3;;;;;;;;;;;;;
44;2029;;8.3;;;;;;;;;;;;;
45;2029;;8.3;;;;;;;;;;;;;
46;2029;;8.3;;;;;;;;;;;;;
47;2029;;8.3;;;;;;;;;;;;;
48;2030;;8.3;;;;;;;;;;;;;
49;2030;;8.3;;;;;;;;;;;;;
50;2030;;8.3;;;;;;;;;;;;;
51;2030;;8.3;;;;;;;;;;;;;
52;2030;;8.3;;;;;;;;;;;;;
53;2030;;8.3;;;;;;;;;;;;;
54;2030;;8.3;;;;;;;;;;;;;
55;2030;;8.3;;;;;;;;;;;;;
56;2030;;8.3;;;;;;;;;;;;;
57;2030;;8.3;;;;;;;;;;;;;
58;2030;;8.3;;;;;;;;;;;;;
59;2030;;8.3;;;;;;;;;;;;;
