mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
0;2026;;8.3;0.0;8.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
1;2026;;8.3;0.0;16.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
2;2026;;8.3;0.0;25.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
3;2026;;8.3;0.0;33.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
4;2026;;8.3;0.0;41.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
5;2026;;8.3;0.0;50.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
6;2026;;8.3;0.0;58.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
7;2026;;8.3;0.0;66.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
8;2026;;8.3;0.0;75.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
9;2026;;8.3;0.0;83.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
10;2026;;8.3;0.0;91.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
11;2026;;8.3;0.0;100.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
12;2027;on isole le parc le plus fragile — la seule décision qui rapporte du capital;8.3;7.32;101.0;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
13;2027;;8.3;7.32;102.0;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
14;2027;;8.3;7.32;103.0;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
15;2027;;8.3;7.32;104.0;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
16;2027;;8.3;7.32;105.1;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
17;2027;;8.3;7.32;106.1;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
18;2027;;8.3;7.32;107.1;52.0;2544;0;0.201;0.593;1.0;3371;0.421;
19;2027;;8.3;7.32;108.1;52.0;2544;0;0.201;0.593;1.0;3371;0.423;
20;2027;;8.3;7.32;109.1;52.0;2544;0;0.201;0.593;1.0;3371;0.425;
21;2027;;8.3;7.32;110.1;52.0;2544;0;0.201;0.593;1.0;3371;0.427;
22;2027;;8.3;7.32;111.1;52.0;2544;0;0.201;0.593;1.0;3371;0.429;
23;2027;;8.3;7.32;112.1;52.0;2544;0;0.201;0.593;1.0;3371;0.431;
