mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
0;2026;retirer le stationnement d'abord — sans ça ni l'arbre ni la noue n'ont de place;8.3;1.54;6.8;38.7;2544;0;0.201;0.593;1.0;3371;0.421;
1;2026;;8.3;1.54;13.6;38.7;2544;0;0.201;0.593;1.0;3371;0.421;
2;2026;;8.3;1.54;20.4;38.7;2544;0;0.201;0.593;1.0;3371;0.421;
3;2026;;8.3;1.54;27.2;38.7;2544;0;0.201;0.593;1.0;2941;0.427;
4;2026;;8.3;1.54;34.0;38.7;2544;0;0.201;0.593;1.0;2511;0.432;
5;2026;;8.3;1.54;40.8;38.7;2544;0;0.201;0.593;1.0;2082;0.438;
6;2026;;8.3;1.54;47.6;38.7;2544;0;0.201;0.593;1.0;1652;0.443;
7;2026;;8.3;1.54;54.4;38.7;2544;0;0.201;0.593;1.0;1222;0.449;
8;2026;;8.3;0.0;62.7;38.7;2544;0;0.201;0.593;1.0;792;0.454;
9;2026;;8.3;0.0;71.0;38.7;2544;0;0.201;0.593;1.0;792;0.454;
10;2026;l'alignement, une fois l'emprise libérée  ⚠ plein effet au mois 73, après la fin de la partie;8.3;2.15;77.2;37.7;2544;0;0.201;0.593;1.0;792;0.454;
11;2026;;8.3;2.15;83.4;37.7;2544;0;0.201;0.593;1.0;792;0.454;
12;2027;;8.3;2.15;89.6;37.7;2544;0;0.201;0.593;1.0;792;0.454;
13;2027;;8.3;2.15;95.8;37.7;2544;0;0.201;0.593;1.0;792;0.454;
14;2027;;8.3;2.15;101.9;37.7;2544;0;0.203;0.593;1.0;792;0.454;
15;2027;;8.3;2.15;108.1;37.7;2544;0;0.204;0.593;1.0;792;0.454;
16;2027;;8.3;2.15;114.3;37.7;2544;0;0.206;0.593;1.0;792;0.454;
17;2027;;8.3;2.15;120.5;37.7;2544;0;0.207;0.593;1.0;792;0.454;
18;2027;;8.3;2.15;126.7;37.7;2544;0;0.208;0.593;1.0;792;0.454;
19;2027;;8.3;2.15;132.9;37.7;2544;0;0.21;0.593;1.0;792;0.454;
20;2027;les noues, sur les mêmes mètres — elles passent après l'arbre;8.3;12.55;128.7;35.7;2544;0;0.211;0.593;1.0;792;0.454;
21;2027;;8.3;12.55;124.5;35.7;2544;0;0.213;0.593;1.0;792;0.454;
22;2027;;8.3;12.55;120.2;35.7;2544;0;0.214;0.593;1.0;792;0.454;
23;2027;;8.3;12.55;116.0;35.7;2544;0;0.216;0.593;1.0;792;0.454;
24;2028;;8.3;12.55;111.8;35.7;2544;0;0.217;0.593;1.0;792;0.454;
25;2028;;8.3;12.55;107.6;35.7;2544;0;0.218;0.593;1.0;792;0.454;
26;2028;;8.3;12.55;103.4;35.7;2544;0;0.22;0.584;1.0;792;0.454;
27;2028;;8.3;12.55;99.2;35.7;2544;0;0.221;0.574;1.0;792;0.454;
28;2028;;8.3;12.55;95.0;35.7;2544;0;0.223;0.566;1.0;792;0.454;
29;2028;;8.3;12.55;90.7;35.7;2544;0;0.224;0.558;1.0;792;0.454;
30;2028;;8.3;12.55;86.5;35.7;2544;0;0.226;0.549;1.0;792;0.454;
31;2028;;8.3;12.55;82.3;35.7;2544;0;0.227;0.541;1.0;792;0.454;
32;2028;;8.3;12.55;78.1;35.7;2544;0;0.228;0.533;1.0;792;0.454;
33;2028;;8.3;12.55;73.9;35.7;2544;0;0.23;0.525;1.0;792;0.454;
34;2028;;8.3;12.55;69.7;35.7;2544;0;0.231;0.517;1.0;792;0.454;
35;2028;;8.3;12.55;65.5;35.7;2544;0;0.233;0.508;1.0;792;0.454;
36;2029;;8.3;12.55;61.3;35.7;2544;0;0.234;0.5;1.0;792;0.454;
37;2029;;8.3;12.55;57.0;35.7;2544;0;0.236;0.492;1.0;792;0.454;
38;2029;;8.3;12.55;52.8;35.7;2544;0;0.237;0.484;1.0;792;0.454;
39;2029;;8.3;12.55;48.6;35.7;2544;0;0.238;0.476;1.0;792;0.454;
40;2029;;8.3;12.55;44.4;35.7;2544;0;0.24;0.468;1.0;792;0.454;
41;2029;;8.3;12.55;40.2;35.7;2544;0;0.241;0.46;1.0;792;0.454;
42;2029;;8.3;12.55;36.0;35.7;2544;0;0.243;0.452;1.0;792;0.454;
