mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
0;2026;;8.3;0.0;8.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
1;2026;;8.3;0.0;16.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
2;2026;;8.3;0.0;25.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
3;2026;;8.3;0.0;33.3;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
4;2026;;8.3;0.0;41.7;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
5;2026;;8.3;0.0;50.0;50.0;2544;0;0.201;0.593;1.0;3371;0.421;
6;2026;fermer l'axe de transit dès que c'est autorisé;8.3;0.91;57.4;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
7;2026;;8.3;0.91;64.9;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
8;2026;;8.3;0.91;72.3;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
9;2026;;8.3;0.91;79.7;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
10;2026;;8.3;0.91;87.1;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
11;2026;;8.3;0.91;94.6;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
12;2027;;8.3;0.91;102.0;44.0;2544;0;0.201;0.593;1.0;3371;0.421;
13;2027;;8.3;0.91;109.4;44.0;2544;0;0.201;0.593;1.0;3371;0.42;
14;2027;;8.3;0.91;116.9;44.0;2544;0;0.201;0.593;1.0;3371;0.419;
15;2027;;8.3;0.91;124.3;44.0;2544;0;0.201;0.593;1.0;3371;0.418;
16;2027;;8.3;0.91;131.7;44.0;2544;0;0.201;0.593;1.0;3371;0.417;
17;2027;;8.3;0.91;139.1;44.0;2544;0;0.201;0.593;1.0;3371;0.416;
18;2027;puis le stationnement, sur ce qui reste;8.3;2.44;145.0;32.7;2544;0;0.201;0.593;1.0;3371;0.415;
19;2027;;8.3;2.44;150.9;32.7;2544;0;0.201;0.593;1.0;3371;0.414;
20;2027;;8.3;2.44;156.8;32.7;2544;0;0.201;0.593;1.0;3371;0.413;
21;2027;;8.3;2.44;162.7;32.7;2544;0;0.201;0.593;1.0;2941;0.417;
22;2027;;8.3;2.44;168.6;32.7;2544;0;0.201;0.593;1.0;2511;0.421;
23;2027;;8.3;2.44;174.5;32.7;2544;0;0.201;0.593;1.0;2082;0.426;
