mois;annee;evenement;budget_verse;budget_engage;budget_solde;capital;logements;logements_a_reloger;canopee_moy;impermeabilise_moy;charge_max;stationnement;riverain_moy;note
0;2026;le contrôle de recoupement avec Godot — même décision, même seuil, même mois. Les deux moteurs doivent donner la même canopée moyenne au mois 60.  ⚠ plein effet au mois 63, après la fin de la partie;8.3;1.81;6.5;49.0;2549;0;0.198;0.596;1.0;3328;0.425;
1;2026;;8.3;1.81;13.0;49.0;2549;0;0.198;0.596;1.0;3328;0.425;
2;2026;;8.3;1.81;19.6;49.0;2549;0;0.198;0.596;1.0;3328;0.425;
3;2026;;8.3;1.81;26.1;49.0;2549;0;0.198;0.596;1.0;3328;0.425;
4;2026;;8.3;1.81;32.6;49.0;2549;0;0.199;0.596;1.0;3328;0.425;
5;2026;;8.3;1.81;39.1;49.0;2549;0;0.2;0.596;1.0;3328;0.425;
6;2026;;8.3;1.81;45.6;49.0;2549;0;0.202;0.596;1.0;3328;0.425;
7;2026;;8.3;1.81;52.2;49.0;2549;0;0.203;0.596;1.0;3328;0.425;
8;2026;;8.3;1.81;58.7;49.0;2549;0;0.204;0.596;1.0;3328;0.425;
9;2026;;8.3;1.81;65.2;49.0;2549;0;0.206;0.596;1.0;3328;0.425;
10;2026;;8.3;1.81;71.7;49.0;2549;0;0.207;0.596;1.0;3328;0.425;
11;2026;;8.3;1.81;78.2;49.0;2549;0;0.208;0.596;1.0;3328;0.425;
12;2027;;8.3;1.81;84.8;49.0;2549;0;0.21;0.596;1.0;3328;0.425;
13;2027;;8.3;1.81;91.3;49.0;2549;0;0.211;0.596;1.0;3328;0.425;
14;2027;;8.3;1.81;97.8;49.0;2549;0;0.212;0.596;1.0;3328;0.425;
15;2027;;8.3;1.81;104.3;49.0;2549;0;0.214;0.596;1.0;3328;0.425;
16;2027;;8.3;1.81;110.9;49.0;2549;0;0.215;0.596;1.0;3328;0.425;
17;2027;;8.3;1.81;117.4;49.0;2549;0;0.216;0.596;1.0;3328;0.425;
18;2027;;8.3;1.81;123.9;49.0;2549;0;0.218;0.596;1.0;3328;0.425;
19;2027;;8.3;1.81;130.4;49.0;2549;0;0.219;0.596;1.0;3328;0.425;
20;2027;;8.3;1.81;136.9;49.0;2549;0;0.22;0.596;1.0;3328;0.425;
21;2027;;8.3;1.81;143.5;49.0;2549;0;0.222;0.596;1.0;3328;0.425;
22;2027;;8.3;1.81;150.0;49.0;2549;0;0.223;0.596;1.0;3328;0.425;
23;2027;;8.3;1.81;156.5;49.0;2549;0;0.224;0.596;1.0;3328;0.425;
24;2028;;8.3;1.81;163.0;49.0;2549;0;0.226;0.596;1.0;3328;0.425;
25;2028;;8.3;1.81;169.5;49.0;2549;0;0.227;0.596;1.0;3328;0.425;
26;2028;;8.3;1.81;176.1;49.0;2549;0;0.228;0.596;1.0;3328;0.425;
27;2028;;8.3;1.81;182.6;49.0;2549;0;0.23;0.596;1.0;3328;0.425;
28;2028;;8.3;1.81;189.1;49.0;2549;0;0.231;0.596;1.0;3328;0.425;
29;2028;;8.3;1.81;195.6;49.0;2549;0;0.232;0.596;1.0;3328;0.425;
30;2028;;8.3;1.81;202.1;49.0;2549;0;0.233;0.596;1.0;3328;0.425;
31;2028;;8.3;1.81;208.7;49.0;2549;0;0.235;0.596;1.0;3328;0.425;
32;2028;;8.3;1.81;215.2;49.0;2549;0;0.236;0.596;1.0;3328;0.425;
33;2028;;8.3;1.81;221.7;49.0;2549;0;0.237;0.596;1.0;3328;0.425;
34;2028;;8.3;1.81;228.2;49.0;2549;0;0.239;0.596;1.0;3328;0.425;
35;2028;;8.3;1.81;234.7;49.0;2549;0;0.24;0.596;1.0;3328;0.425;
36;2029;;8.3;1.81;241.3;49.0;2549;0;0.241;0.596;1.0;3328;0.425;
